Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          69,       0.6000000000000000,       0.2299999999999997,      41.4000000000000554,     0.20700E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.20700E+01,     0.50000E+02,           2,
           1,          70,       0.6000000000000000,       0.2333333333333330,      42.0000000000000568,     0.21000E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.21000E+01,     0.50000E+02,           2,
           1,          71,       0.6000000000000000,       0.2366666666666664,      42.6000000000000583,     0.21300E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.21300E+01,     0.50000E+02,           2,
           1,          72,       0.6000000000000000,       0.2399999999999997,      43.2000000000000597,     0.21600E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.21600E+01,     0.50000E+02,           2,
           1,          73,       0.6000000000000000,       0.2433333333333330,      43.8000000000000611,     0.21900E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.21900E+01,     0.50000E+02,           2,
           1,          74,       0.6000000000000000,       0.2466666666666663,      44.4000000000000625,     0.22200E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.22200E+01,     0.50000E+02,           2,
           1,          75,       0.6000000000000000,       0.2499999999999997,      45.0000000000000639,     0.22500E+01,     0.50000E+02,     0.10000E+00,     0.30000E-01,     0.22500E+01,     0.50000E+02,           2,
           1,          76,      -0.6000000000000654,       0.2533333333333330,      44.3999999999999986,     0.22200E+01,     0.50000E+02,     0.10000E+00,    -0.30000E-01,     0.22200E+01,     0.50000E+02,           2,
           1,          77,       3.0000000000000000,       0.2566666666666664,      47.3999999999999986,     0.23700E+01,     0.50000E+02,     0.10000E+00,     0.15000E+00,     0.23700E+01,     0.50000E+02,           2,
           1,          78,      -1.8000000000000043,       0.2599999999999997,      45.5999999999999943,     0.22800E+01,     0.50000E+02,     0.10000E+00,    -0.90000E-01,     0.22800E+01,     0.50000E+02,           2,
           1,          79,       3.0000000000000071,       0.2633333333333331,      48.6000000000000014,     0.24300E+01,     0.50000E+02,     0.10000E+00,     0.15000E+00,     0.24300E+01,     0.50000E+02,           2,
           1,          80,      -1.8000000000000043,       0.2666666666666664,      46.7999999999999972,     0.23400E+01,     0.50000E+02,     0.10000E+00,    -0.90000E-01,     0.23400E+01,     0.50000E+02,           2,
           1,          81,       3.0000000000000071,       0.2699999999999998,      49.8000000000000043,     0.24900E+01,     0.50000E+02,     0.10000E+00,     0.15000E+00,     0.24900E+01,     0.50000E+02,           2,
